"ADDRESS","BOROUGH","BIN","CD","CATEGORY","SUBCATEGORIES","JOB NUMBERS"
"1090 EAST 17 STREET","BROOKLYN","3180064","314","Approved Work","Single Worker Limit","322030360"
"1090 MYRTLE AVENUE","Brooklyn","3042894","303","Approved Work","Essential Facility","320730517"
"1098 MADISON ST","Brooklyn","3077017","304","Approved Work","Essential Facility; Affordable Housing","320625604"
"11 CONSELYEA STREET","Brooklyn","3068515","301","Approved Work","Single Worker Limit","320591178"
"11 HOYT STREET","Brooklyn","3329438","302","Approved Work","Emergency Construction","321197058"
"11 METROTECH CENTER","Brooklyn","3000246","302","Approved Work","Essential Facility","321925574"
"11 SCHERMERHORN STREET","BROOKLYN","3002613","302","Approved Work","Emergency Construction","322016509; B00326048"
"110 AVENUE S","BROOKLYN","3189915","311","Approved Work","Emergency Construction","B00329328"
"110 GROVE STREET","Brooklyn","3076082","304","Approved Work","Essential Facility; Affordable Housing","340592415; 340656560"
"110 THATFORD AVENUE","Brooklyn","3418410","316","Approved Work","Essential Facility; Affordable Housing","320625383"
"1101 OCEAN PARKWAY","Brooklyn","3171322","312","Approved Work","Essential Facility","321422723"
"1107 DEKALB AVE","Brooklyn","3043203","303","Approved Work","Emergency Construction","B00255979"
"1109 HALSEY STREET","Brooklyn","3078589","304","Approved Work","Emergency Construction","321383622"
"111 6 AVENUE","Brooklyn","3018918","306","Approved Work","Emergency Construction","321763980; 321911286"
"111 HICKS STREET","Brooklyn","3001726","302","Approved Work","Electrical","B00343729"
"111 LAWRENCE STREET","BROOKLYN","3397012","302","Approved Work","Emergency Construction","B00297740"
"111 LIVINGSTON STREET","Brooklyn","3002555","302","Approved Work","Electrical","B00340842"
"111 PUTNAM AVENUE","BROOKLYN","3321959","303","Approved Work","Essential Facility; Affordable Housing","322059428"
"1110 DEKALB AVENUE","Brooklyn","3332197","303","Approved Work","Essential Facility; Affordable Housing","321770188"
"1110 MADISON STREET","Brooklyn","3326192","304","Approved Work","Essential Facility","321185999"
"1111 AVENUE U","BROOKLYN","3197896","315","Approved Work","Essential Facility","321987445; 321999147"
"1111 DECATUR STREET","Brooklyn","3810825","304","Approved Work","Essential Facility; Affordable Housing","322064984"
"1111 FULTON STREET","Brooklyn","3399785","303","Approved Work","Essential Facility; Affordable Housing","321186471"
"1115 DECATUR STREET","Brooklyn","3836268","304","Approved Work","Essential Facility; Affordable Housing","322064975"
"1115 JEFFERSON AVENUE","BROOKLYN","3077520","304","Approved Work","Single Worker Limit","B00265380"
"112 EUCLID AVENUE","BROOKLYN","3091580","305","Approved Work","LAA","B00301553"
"112 HOWARD AVENUE","Brooklyn","3040022","303","Approved Work","Essential Facility","322030645"
"1121 36 STREET","Brooklyn","3123389","312","Approved Work","Essential Facility; Affordable Housing","321782932"
"1122 BROADWAY","BROOKLYN","3043305","303","Approved Work","Electrical","B00257766"
"1123 AVENUE J","Brooklyn","3179480","314","Approved Work","Essential Facility","320910485; B00307522; B00307529"
"1129 43 STREET","Brooklyn","3135871","312","Approved Work","Emergency Construction","340718799"
"113 HAMILTON AVE","Brooklyn","3005179","306","Approved Work","Emergency Construction; Essential Facility","320910582; 321935750"
"113 NORTH    3 STREET","BROOKLYN","3329975","301","Approved Work","LAA","B00351229"
"1131 BROADWAY","BROOKLYN","3073753","304","Approved Work","Electrical","B00342145"
"114 BUTLER  ST","Brooklyn","3006564","306","Approved Work","Single Worker Limit","322039343"
"115 1/2 INDIA STREET","Brooklyn","3064290","301","Approved Work","Emergency Construction","321593030"
"115 CLIFTON PLACE","Brooklyn","3428684","303","Approved Work","Essential Facility; Affordable Housing","321836037; 321916502"
"1151 BRIGHTON BEACH AVENUE","BROOKLYN","3245670","313","Approved Work","Essential Business","B00259891"
"1155 E 80 STREET","Brooklyn","3225908","318","Approved Work","Essential Facility","320953241"
"1155 MANHATTAN AVENUE","BROOKLYN","3404803","301","Approved Work","Essential Facility","321124788"
"116 GROVE STREET","Brooklyn","3076083","304","Approved Work","Essential Facility; Affordable Housing","340595751; 340660528"
"116 INDIA STREET","Brooklyn","3064428","301","Approved Work","Single Worker Limit","320622199"
"1160 ROGERS AVE","Brooklyn","3119862","317","Approved Work","Single Worker Limit","321690201"
"1163 DEAN STREET","BROOKLYN","3030019","308","Approved Work","Single Worker Limit","340686172"
"1163 WILLMOHR STREET","Brooklyn","3101974","317","Approved Work","Essential Facility; Affordable Housing; Electrical","321596741; B00297581; B00349359; B00349567"
"1166 ST JOHNS PLACE","Brooklyn","3032506","308","Approved Work","Single Worker Limit","320909497"
"1169 EAST 7 STREET","Brooklyn","3171172","312","Approved Work","Emergency Construction","321983608"
"1169 EAST 9 STREET","Brooklyn","3171499","312","Approved Work","Emergency Construction","321770810"
"117 42 ST","Brooklyn","3010656","307","Approved Work","Emergency Construction","340699694"
"117 AINSLIE STREET","Brooklyn","3068957","301","Approved Work","Single Worker Limit","340659139"
"117 EAST 95TH STREET","Brooklyn","3100099","317","Approved Work","Essential Facility; Affordable Housing","321737331"
"1170 51 STREET","Brooklyn","3138318","312","Approved Work","Single Worker Limit","321701477"
"1172 EAST 12TH STREET","Brooklyn","3180208","314","Approved Work","Single Worker Limit","321189995"
"1172 MCDONALD AVENUE","Brooklyn","3425721","312","Approved Work","Essential Facility","321191107"
"1176 43","Brooklyn","3136101","312","Approved Work","Single Worker Limit","320723892"
"1177 EAST 98 STREET","BROOKLYN","3230163","318","Approved Work","Essential Business","B00266242"
"118 3 AVENUE","Brooklyn","3005969","302","Approved Work","Essential Facility","B00176623"
"118 CLARKSON AVENUE","BROOKLYN","3116227","317","Approved Work","Electrical","B00342683"
"118 MACON STREET","Brooklyn","3053294","303","Approved Work","Essential Facility; Affordable Housing","321850653"
"1182 DEAN STREET","Brooklyn","3030326","308","Approved Work","Single Worker Limit","340709013"
"119    7 AVENUE","BROOKLYN","3024732","306","Approved Work","Electrical","B00340914"
"119 CLIFTON PLACE","Brooklyn","3428685","303","Approved Work","Essential Facility; Affordable Housing","321836046"
"119 CONGRESS STREET","Brooklyn","3003109","306","Approved Work","Single Worker Limit","321781979"
"119 INDIA STREET","Brooklyn","3064312","301","Approved Work","Single Worker Limit","321732194"
"12 AGATE COURT","BROOKLYN","3054065","303","Approved Work","Electrical","B00350354"
"12 LAWTON","Brooklyn","3073412","304","Approved Work","Single Worker Limit","321183802"
"120 EAST 19 STREET","BROOKLYN","3117592","314","Approved Work","Electrical","B00349968"
"120 JAVA STREET","Brooklyn","3064558","301","Approved Work","Emergency Construction","321288129"
"1200 BROADWAY","Brooklyn","3426385","303","Approved Work","Essential Facility","321197049"
"1202 TABOR COURT","BROOKLYN","3141548","310","Approved Work","Single Worker Limit","322007662"
"1204 BEDFORD AVENUE","BROOKLYN","3057348","303","Approved Work","Essential Facility; Affordable Housing","321916478"
"1208 BERGEN AVENUE","BROOKLYN","3235832","318","Approved Work","Essential Facility; Electrical","B00336572; B00341266"
"1208 ST JOHNS PLACE","BROOKLYN","3036954","308","Approved Work","Single Worker Limit","B00331963"
"121 CLERMONT AVENUE","BROOKLYN","3058124","302","Approved Work","Emergency Construction","B00344661"
"121 NORTH 1ST STREET","Brooklyn","3399187","301","Approved Work","Single Worker Limit","320713322; 321918298"
"121 PUTNAM AVENUE","BROOKLYN","3057182","303","Approved Work","Essential Facility; Affordable Housing","322059437"
"122 4 AVENUE","BROOKLYN","3006398","306","Approved Work","Emergency Construction","321656999"
"1223 MCDONALD AVENUE","BROOKLYN","3171062","312","Approved Work","Single Worker Limit","321959546"
"1223 PRESIDENT STREET","Brooklyn","3033271","309","Approved Work","Emergency Construction","321186710"
"1224 50 STREET","Brooklyn","3138034","312","Approved Work","Essential Facility","321980978"
"1225 42ND STREET","Brooklyn","3135707","312","Approved Work","Essential Facility; Affordable Housing; Single Worker Limit","321276542; 321276542"
"1226 ST MARKS AVENUE","Brooklyn","3036092","308","Approved Work","Essential Facility; Affordable Housing","320910403"
"123 CLIFTON PLACE","Brooklyn","3055658","303","Approved Work","Essential Facility; Affordable Housing","321836082"
"123 LINDEN BLVD","Brooklyn","3116661","317","Approved Work","Essential Facility; Affordable Housing","321228603; 340581141; 340728234; B00318047; B00318896"
"1233 EAST 19 STREET","BROOKLYN","3180730","314","Approved Work","Electrical","B00342985"
"1236 ATLANTIC AVENUE","Brooklyn","3029758","308","Approved Work","LAA","B00352412"
"1236 HALSEY STREET","BROOKLYN","3078873","304","Approved Work","Single Worker Limit","340695796"
"1238 44 STREET","Brooklyn","3136427","312","Approved Work","Single Worker Limit","321773915"
"1238 63 STREET","Brooklyn","3428607","310","Approved Work","Essential Facility","321830426"
"123A 7TH AVENUE","Brooklyn","3024729","306","Approved Work","Emergency Construction","321192473"
"124 9 STREET","Brooklyn","3022200","306","Approved Work","Emergency Construction","321990663; 322059151; 340578994"
"124 WITHERS STREET","Brooklyn","3068278","301","Approved Work","Essential Facility; Affordable Housing","321383837"
"1240 MADISON STREET","Brooklyn","3425666","304","Approved Work","Essential Facility","321431919"
"1241 CONEY ISLAND AVENUE","Brooklyn","3179194","314","Approved Work","Essential Facility","321188102; 340534620; 340534693"
"1246 UNION STREET","BROOKLYN","3033242","309","Approved Work","Electrical","B00342868"
"1248 NEW YORK AVENUE","Brooklyn","3425930","317","Approved Work","Essential Facility; Affordable Housing","321646705"
"1249 DEKALB AVENUE","Brooklyn","3325486","304","Approved Work","Single Worker Limit","321194658"
"1249 EAST 23RD STREET","Brooklyn","3254432","314","Approved Work","Single Worker Limit","321191170"
"125 BAINBRIDGE STREET","Brooklyn","3047449","303","Approved Work","Single Worker Limit","340493317"
"1250 NEW YORK AVENUE","Brooklyn","3426663","317","Approved Work","Essential Facility; Affordable Housing","321646698; 340572384"
"1251 EAST 32ND STREET","Brooklyn","3209689","318","Approved Work","Single Worker Limit","320912278"
"1255 BEDFORD AVENUE","Brooklyn","3053704","303","Approved Work","Essential Facility; Affordable Housing","321617087"
"126 13TH STREET","Brooklyn","3023316","306","Approved Work","Essential Facility","320281529"
"126 EAST 54 ST","Brooklyn","3100923","317","Approved Work","Single Worker Limit","321769895; 321788188; B00229042; B00229064"
"126 PARK PLACE","BROOKLYN","3019101","306","Approved Work","LAA","B00344380"
"1262 BROADWAY","Brooklyn","3044200","303","Approved Work","Emergency Construction","302298742"
"1266 CROTON LOOP","BROOKLYN","3098293","305","Approved Work","Essential Facility; Affordable Housing","B00343183"
"1268 EAST 14 STREET","BROOKLYN","3180645","314","Approved Work","Essential Facility","321063246; B00200578; B00200594"
"1269 DEKALB AVENUE","Brooklyn","3073502","304","Approved Work","Single Worker Limit","321184883"
"1270 FLATBUSH AV","Brooklyn","3120717","314","Approved Work","Essential Facility","321761214"
"1270 NEW YORK AVE","Brooklyn","3111372","317","Approved Work","Essential Facility; Affordable Housing","321751902; 321791940"
"1274 BERGEN ST","Brooklyn","3030761","308","Approved Work","Essential Facility","B00267524"
"1274 FLATBUSH AVENUE","Brooklyn","3120719","314","Approved Work","LAA","B00344484"
"1279 BEDFORD AVENUE","BROOKLYN","3805752","303","Approved Work","LAA","B00344243"
"1279 DELMAR LOOP","BROOKLYN","3098299","305","Approved Work","Essential Facility; Affordable Housing","B00343131"
"1282 BROADWAY","Brooklyn","3044204","303","Approved Work","Single Worker Limit","321467300"
"1291 MCDONALD AVENUE","Brooklyn","3171054","312","Approved Work","Essential Facility","340291357"
"1296 PARK PLACE","Brooklyn","3036431","308","Approved Work","Single Worker Limit","321279692; B00287829"
"13 GARDEN STREET","Brooklyn","3071814","304","Approved Work","Essential Facility; Affordable Housing","321385933"
"13 JEFFERSON ST","Brooklyn","3421605","304","Approved Work","Essential Facility; Affordable Housing","321193150"
"13 KEEN COURT","Brooklyn","3248916","315","Approved Work","Essential Facility","321572687"
"130 LEFFERTS PLACE","Brooklyn","3057840","302","Approved Work","Essential Facility; Affordable Housing","321999067; B00222584; B00222767"
"130 LIVINGSTON STREET","BROOKLYN","3319419","302","Approved Work","Essential Business","340714935; B00064609"
"1302 PACIFIC STREET","BROOKLYN","3030047","308","Approved Work","Electrical","B00342887"
"1308 DEAN STREET","Brooklyn","3030406","308","Approved Work","Single Worker Limit","321926644"
"131 8TH STREET","Brooklyn","3250831","306","Approved Work","Emergency Construction","320911484; 340631597"
"131 DEVOE STREET","Brooklyn","3426845","301","Approved Work","Essential Facility","321187176; 340385611"
"131 EAST 45 STREET","BROOKLYN","3107633","309","Approved Work","Single Worker Limit","B00306754"
"1311 BRIGHTWATER AVENUE","BROOKLYN","3245726","313","Approved Work","Electrical","B00343118"
"1324 EAST 31 STREET","Brooklyn","3210358","318","Approved Work","Single Worker Limit","321384275"
"1326 DEAN STREET","Brooklyn","3030415","308","Approved Work","Emergency Construction; Single Worker Limit","322014020; B00271992"
"1332 BERGEN STREET","Brooklyn","3030821","308","Approved Work","Essential Facility; Affordable Housing","320696494"
"1332 SCHENECTADY AVE","Brooklyn","3113089","317","Approved Work","Essential Facility","340724363"
"1333 PACIFIC STREET","BROOKLYN","3029811","308","Approved Work","Single Worker Limit","340709335; B00266164"
"133A QUINCY STREET","Brooklyn","3056477","303","Approved Work","Electrical","B00350427"
"134 E 37 STREET","Brooklyn","3108140","317","Approved Work","Single Worker Limit","B00250826"
"1340 LINCOLN PLACE","Brooklyn","3037330","308","Approved Work","Single Worker Limit","321726245"
"1340 PROSPECT PLACE","BROOKLYN","3036222","308","Approved Work","Essential Facility","B00293910"
"135 EMERSON PLACE","Brooklyn","3329825","302","Approved Work","Essential Facility","321183367; 340388663"
"135 OCEAN PARKWAY","Brooklyn","3124349","312","Approved Work","Emergency Construction","340684389"
"1351 BROOKLYN AVE","Brooklyn","3428640","317","Approved Work","Essential Facility; Affordable Housing","321910394"
"1352 36 STREET","BROOKLYN","3418384","312","Approved Work","Essential Facility","320911607"
"136 27 AVENUE","BROOKLYN","3186872","313","Approved Work","LAA","B00351945"
"136 HICKS STREET","BROOKLYN","3001800","302","Approved Work","Emergency Construction","321959323"
"1360 HERKIMER ST","Brooklyn","3042680","316","Approved Work","Essential Facility","B00229176"
"1360 OCEAN AVENUE","BROOKLYN","3179458","314","Approved Work","LAA","B00345750"
"1364 EAST 23 STREET","Brooklyn","3254455","314","Approved Work","Single Worker Limit","321166064"
"1367 EAST 26TH STREET","Brooklyn","3210176","314","Approved Work","Essential Facility","321186337"
"137 CARLTON AVE","Brooklyn","3323542","302","Approved Work","Essential Business","321574122"
"1370 UNION STREET","Brooklyn","3033333","309","Approved Work","Essential Facility","321827485"
"1371 DEAN STREET","BROOKLYN","3030173","308","Approved Work","LAA","B00340369"
"1379 51 STREET","Brooklyn","3428548","312","Approved Work","Essential Facility","321380233"
"138 NASSAU AVE","Brooklyn","3066878","301","Approved Work","Essential Facility","340324358"
"138 WEIRFIELD STREET","BROOKLYN","3078560","304","Approved Work","Essential Facility","B00293512"
"138 WILLOUGHBY STREET","Brooklyn","3396962","302","Approved Work","Emergency Construction","321197085"
"1381 BERGEN STREET","Brooklyn","3035752","308","Approved Work","Essential Facility; Affordable Housing","321908281"
"1382 DAHILL ROAD","Brooklyn","3172307","312","Approved Work","Single Worker Limit","321674354"
"1389 E 22ND STREET","Brooklyn","3210058","314","Approved Work","Essential Facility","321661199"
"139 FLATBUSH AVENUE","BROOKLYN","3348849","302","Approved Work","Emergency Construction; Essential Facility","321748016; 322070236"
"139 LUQUER STREET","BROOKLYN","3005535","306","Approved Work","Essential Facility; Affordable Housing","321930620"
"1390 PENNSYLVANIA AVENUE","BROOKLYN","3345673","305","Approved Work","Essential Facility; Affordable Housing","321953659"
"1391 CONEY ISLAND AVENUE","Brooklyn","3179854","314","Approved Work","Single Worker Limit","322031216"
"1399 MYRTLE AVENUE","Brooklyn","3418366","304","Approved Work","Essential Facility","321123495"
"14 DUFFIELD STREET","Brooklyn","3000191","302","Approved Work","Essential Facility; Affordable Housing","321555367"
"14 WEBERS CT","Brooklyn","3248055","315","Approved Work","Essential Facility","321189959"
"140 8 AVENUE","BROOKLYN","3024923","306","Approved Work","Emergency Construction","321791325"
"140 LUQUER STREET","Brooklyn","3005572","306","Approved Work","Single Worker Limit","321659576"
"1406 OCEAN PARKWAY","Brooklyn","3425958","312","Approved Work","Emergency Construction","321748276"
"1407 78 STREET","BROOKLYN","3161303","311","Approved Work","Emergency Construction","B00238539"
"1409 FLATBUSH AVENUE","Brooklyn","3120876","314","Approved Work","Essential Facility; Affordable Housing; Single Worker Limit","321194104; 322084695"
"140A 58 STREET","Brooklyn","3257059","307","Approved Work","Essential Facility","322013174"
"141 DEVOE STREET","BROOKLYN","3068881","301","Approved Work","Electrical","B00350315"
"141 FLUSHING AVENUE","Brooklyn","3335143","302","Approved Work","Essential Facility; Essential Business; Electrical","321932129; 321932129; B00350397"
"1414 WEST 4 STREET","BROOKLYN","3424450","311","Approved Work","Essential Facility","321421190; B00346171"
"142 BAY 37 STREET","BROOKLYN","3186046","311","Approved Work","Emergency Construction","B00339747"
"142 JORALEMON STREET","Brooklyn","3002538","302","Approved Work","Essential Facility","322038040; B00285590"
"142 LENOX ROAD","Brooklyn","3116646","317","Approved Work","Essential Facility; Affordable Housing","321968340"
"142 SUYDAM STREET","BROOKLYN","3392617","304","Approved Work","Single Worker Limit","B00242713"
"1425 FULTON STREET","BROOKLYN","3323647","303","Approved Work","Essential Facility; Affordable Housing","321383766; B00344046"
"1426 39TH STREET","Brooklyn","3124938","312","Approved Work","Essential Facility","322070682"
"1426 FREEPORT LOOP","BROOKLYN","3098295","305","Approved Work","Essential Facility; Affordable Housing","B00343162"
"1428 39TH STREET","Brooklyn","3124939","312","Approved Work","Essential Facility","322070691"
"143 JEFFERSON AVENUE","BROOKLYN","3051885","303","Approved Work","Essential Facility; Affordable Housing","321850804"
"143 PARK AVENUE","Brooklyn","3423976","302","Approved Work","Essential Facility","320762929"
"1430 FULTON STREET","Brooklyn","3426389","303","Approved Work","Essential Facility; Affordable Housing","320596501"
"1433 LINCOLN PLACE","Brooklyn","3037137","308","Approved Work","Essential Facility; Affordable Housing","321361352; 321404244"
"1434 72ND STREET","Brooklyn","3424682","311","Approved Work","Emergency Construction","321557070"
"1436 72ND STREET","Brooklyn","3424683","311","Approved Work","Emergency Construction","321557089"
"1437 52 STREET","BROOKLYN","3138432","312","Approved Work","Single Worker Limit","321938953"
"1442 EAST 4 STREET","Brooklyn","3172780","312","Approved Work","Single Worker Limit","322017009"
"1443 LINCOLN PL","Brooklyn","3037133","308","Approved Work","Single Worker Limit","321148931"
"1446 EAST    3 STREET","Brooklyn","3172723","312","Approved Work","Single Worker Limit; Electrical","301229828; B00343786"
"145 BROOKLYN AVENUE","Brooklyn","3031049","308","Approved Work","Essential Business","322014128"
"145 JEFFERSON AVENUE","BROOKLYN","3051884","303","Approved Work","Essential Facility; Affordable Housing","321963381"
"1456 58 STREET","Brooklyn","3425137","312","Approved Work","Emergency Construction","321394362"
"146 ERASMUS STREET","Brooklyn","3117321","317","Approved Work","Essential Facility; Affordable Housing","321798523"
"146 MIDWOOD STREET","Brooklyn","3115150","309","Approved Work","Single Worker Limit","340677306"
"1461 GATES AVENUE","Brooklyn","3399044","304","Approved Work","Essential Facility; Affordable Housing","320704500"
"1462 ATLANTIC AVENUE","Brooklyn","3029869","308","Approved Work","Essential Facility","321049815"
"1465 MYRTLE AVENUE","Brooklyn","3075701","304","Approved Work","Essential Facility","322025241"
"147 41 STREET","BROOKLYN","3337110","307","Approved Work","Essential Facility","B00335144; B00335156; B00335159; B00337868"
"147 HEWES STREET","Brooklyn","3060343","301","Approved Work","Essential Facility; Single Worker Limit","321483952; B00012696"
"1470 EASTERN PARKWAY","Brooklyn","3813949","316","Approved Work","Essential Facility; Affordable Housing","321692673"
"1471 FULTON STREET","Brooklyn","3338750","303","Approved Work","Essential Facility","321780097"
"1475 41 ST","Brooklyn","3124904","312","Approved Work","Essential Facility","321667549"
"148 BLEECKER STREET","Brooklyn","3325707","304","Approved Work","Essential Facility; Affordable Housing","321930014"
"1489 BROOKLYN AVENUE","Brooklyn","3424480","317","Approved Work","Essential Facility; Affordable Housing","321477237; 340531598"
"1489 FULTON STREET","BROOKLYN","3053634","303","Approved Work","Single Worker Limit","340684780"
"149 CLINTON STREET","Brooklyn","3002614","302","Approved Work","Single Worker Limit","321036464"
"149 GREEN STREET","Brooklyn","3064042","301","Approved Work","Emergency Construction","B00051662"
"149 GREENE AVENUE","BROOKLYN","3321878","302","Approved Work","Single Worker Limit","321995506"
"149 QUINCY STREET","Brooklyn","3825054","303","Approved Work","Single Worker Limit","320912214"
"149 STANHOPE STREET","Brooklyn","3074122","304","Approved Work","Essential Facility; Affordable Housing; Electrical","321928054; B00349437; B00349422"
"1490 EAST 35 STREET","Brooklyn","3211710","318","Approved Work","Essential Facility","340676520"
"1495 BROOKLYN AVENUE","Brooklyn","3424479","317","Approved Work","Essential Facility; Affordable Housing","321477228; 340531605"
"1497 CONEY ISLAND AVENUE","Brooklyn","3180221","314","Approved Work","","321632596"
"1497 EAST 18TH STREET","Brooklyn","3181581","314","Approved Work","Single Worker Limit","321718913"
"1499 BROADWAY","Brooklyn","3077434","304","Approved Work","Single Worker Limit","321989327"
"1499 NOSTRAND AVE","Brooklyn","3426964","317","Approved Work","Essential Facility; Affordable Housing","320916096"
"1499A NOSTRAND AVE","Brooklyn","3414051","317","Approved Work","Essential Facility; Affordable Housing","320916087"
"15 EAGLE STREET","Brooklyn","3426512","301","Approved Work","Essential Facility; Affordable Housing","B00240097; B00278328"
"15 HUNTERFLY PLACE","Brooklyn","3426187","303","Approved Work","Essential Facility; Affordable Housing","321383515"
"15 JEFFERSON ST","Brooklyn","3428669","304","Approved Work","Essential Facility; Affordable Housing","321193169"
"15 LOCUST STREET","Brooklyn","3071760","304","Approved Work","Emergency Construction","322046683; B00344187"
"15 WEBERS CT","Brooklyn","3248054","315","Approved Work","Essential Facility","340474409"
"150 17TH STREET","Brooklyn","3008942","307","Approved Work","Essential Business","322062496"
"150 52ND STREET","Brooklyn","3337255","307","Approved Work","Emergency Construction; Essential Facility","322069603; B00327052"
"150 LENOX ROAD","Brooklyn","3116648","317","Approved Work","Essential Facility; Affordable Housing","321069197"
"150 MCGUINNESS BOULEVARD","Brooklyn","3065780","301","Approved Work","Single Worker Limit","320824603; 320977822"
"1506 HORNELL LOOP","BROOKLYN","3098296","305","Approved Work","Essential Facility; Affordable Housing","B00343167"
"1507 AVE U","Brooklyn","3198124","315","Approved Work","Emergency Construction","B00345108"
"151 MONTAGUE STREET","Brooklyn","3001984","302","Approved Work","Single Worker Limit","322018767"
"1514 49 STREET","Brooklyn","3422397","312","Approved Work","Essential Facility","321643361"
"1515 PARK PLACE","Brooklyn","3036324","308","Approved Work","Essential Facility; Affordable Housing","321384168; B00350860"
"1516 FULTON STREET","Brooklyn","3053844","303","Approved Work","Essential Facility; Affordable Housing","321169579"
"1518 SHORE BOULEVARD","Brooklyn","3246727","315","Approved Work","Single Worker Limit","321529324"
"152 HUNTINGTON STREET","Brooklyn","3005664","306","Approved Work","Single Worker Limit","321986160"
"152 NOBLE STREET","Brooklyn","3065098","301","Approved Work","Single Worker Limit","321932423"
"152 PATCHEN AVE","Brooklyn","3045561","303","Approved Work","Emergency Construction","340681756"
"1520 FULTON STREET","Brooklyn","3425135","303","Approved Work","Essential Facility; Affordable Housing","321129792; 321141251; 321241633; 321646304"
"1525 NEW YORK AVENUE","Brooklyn","3114072","317","Approved Work","Essential Facility; Affordable Housing","321385443; 321928982"
"1526 SHEEPSHEAD BAY ROAD","BROOKLYN","3337315","315","Approved Work","Essential Business","321326123; B00236818; B00236823"
"1527 NEW YORK AVENUE","Brooklyn","3426533","317","Approved Work","Essential Facility; Affordable Housing","321385737; 321928991"
"153 ASHLAND PLACE","Brooklyn","3428630","302","Approved Work","Essential Facility; Affordable Housing; Electrical","340727208; 340646974; B00342599"
"153 GREEN STREET","Brooklyn","3064040","301","Approved Work","Single Worker Limit","321541505"
"153 MONROE STREET","Brooklyn","3051090","303","Approved Work","Single Worker Limit","340679714"
"1530 EAST 8 STREET","BROOKLYN","3175038","312","Approved Work","Electrical","B00342157"
"1533 E 19 STREET","Brooklyn","3426444","314","Approved Work","Essential Facility; Affordable Housing","321094640"
"1539 BENSON AVENUE","BROOKLYN","3166212","311","Approved Work","Single Worker Limit","B00275516"
"154 COURT ST","Brooklyn","3003070","306","Approved Work","Essential Business","321914390"
"155 20 STREET","BROOKLYN","3009139","307","Approved Work","Emergency Construction","B00298104"
"155 ELMIRA LOOP","BROOKLYN","3098298","305","Approved Work","Essential Facility; Affordable Housing","B00343159"
"155 HERZL STREET","BROOKLYN","3081389","316","Approved Work","LAA","B00353267"
"155 SOUTH 4 STREET","Brooklyn","3063280","301","Approved Work","Emergency Construction; LAA","B00338480"
"1550 HENDRICKSON STREET","BROOKLYN","3219323","318","Approved Work","Electrical","B00341942"
"1556 54 ST","Brooklyn","3130436","312","Approved Work","Essential Facility","321039611"
"1556 FULTON STREET","Brooklyn","3053859","303","Approved Work","Single Worker Limit","321040949"
"1557 FULTON ST","Brooklyn","3329705","303","Approved Work","Essential Facility; Affordable Housing","321242204"
"156 ERASMUS STREET","Brooklyn","3117324","317","Approved Work","Essential Facility; Affordable Housing","321195265"
"156 NORTH 4TH STREET","Brooklyn","3062371","301","Approved Work","Essential Business","322020763; B00287269; B00289940"
"1564 EAST 8 STREET","BROOKLYN","3175044","312","Approved Work","Single Worker Limit","322030351"
"1565 NEW YORK AVENUE","Brooklyn","3114064","317","Approved Work","Essential Facility; Affordable Housing","321836064"
"157 WEIRFIELD STREET","BROOKLYN","3078264","304","Approved Work","Single Worker Limit","321999021"
"157 WYTHE AVENUE","Brooklyn","3324851","301","Approved Work","Emergency Construction","321195087"
"1572 PACIFIC STREET","Brooklyn","3426412","308","Approved Work","Essential Facility; Affordable Housing","321188488"
"1580 EAST 13 STREET","BROOKLYN","3181718","314","Approved Work","Emergency Construction; LAA","B00327913; B00352921"
"159 GREENPOINT AVENUE","BROOKLYN","3064778","301","Approved Work","LAA","B00347209"
"159 LEXINGTON AVE","Brooklyn","3056367","303","Approved Work","Essential Facility","321194523"
"1590 EAST 19 STREET","Brooklyn","3425902","314","Approved Work","Essential Facility; Affordable Housing","321183349"
"1591 STERLING PLACE","Brooklyn","3036619","308","Approved Work","Single Worker Limit","322015699"
"1595 BROADWAY","Brooklyn","3425341","304","Approved Work","Emergency Construction; Essential Facility; Affordable Housing","321651164; B00213274"
"1598 EASTERN PARKWAY","Brooklyn","3421424","316","Approved Work","Essential Facility; Affordable Housing","321295834; B00334660"
"16 BARTLETT STREET","Brooklyn","3422361","301","Approved Work","Essential Facility; Affordable Housing","320449350; 320716800; 321415928; 321415937"
"16 CHEEVER PL","Brooklyn","3003711","306","Approved Work","Single Worker Limit","322014556"
"16 STANTON ROAD","Brooklyn","3247778","315","Approved Work","","321193123"
"16 TEN EYCK STREET","BROOKLYN","3070800","301","Approved Work","Essential Facility; Affordable Housing","322018561; 322018570; B00322827"
"16 WEBERS COURT","Brooklyn","3248053","315","Approved Work","Essential Facility","340474258"
"160 CLARKSON AVENUE","BROOKLYN","3116233","317","Approved Work","Essential Facility; Affordable Housing","321594422"
"160 ERASMUS STREET","Brooklyn","3117325","317","Approved Work","Essential Facility; Affordable Housing","321195256; 340478334"
"160 HARMAN STREET","Brooklyn","3342637","304","Approved Work","Essential Facility; Affordable Housing","340592674; 340656622"
"160 IMLAY STREET","Brooklyn","3336460","306","Approved Work","Emergency Construction; Essential Facility","320517124; 322009875"
"160 MACDONOUGH ST","Brooklyn","3053562","303","Approved Work","Single Worker Limit","321917235"
"160 VAN BRUNT STREET","Brooklyn","3008221","306","Approved Work","Emergency Construction","320944350"
